ROA: 0.000000 | RF: 7.000000 | WF: 4.000000  | Promotion: 5.261904 
ROA: 0.000000 | RF: 7.000000 | WF: 5.000000  | Promotion: 5.536177 
ROA: 0.000000 | RF: 7.000000 | WF: 6.000000  | Promotion: 5.536177 
ROA: 0.000000 | RF: 7.000000 | WF: 7.000000  | Promotion: 5.871253 
ROA: 0.000000 | RF: 7.000000 | WF: 8.000000  | Promotion: 8.221519 
ROA: 0.000000 | RF: 7.000000 | WF: 9.000000  | Promotion: 8.221519 
ROA: 0.000000 | RF: 8.000000 | WF: 0.000000  | Promotion: 1.633333 
ROA: 0.000000 | RF: 8.000000 | WF: 1.000000  | Promotion: 1.633333 
ROA: 0.000000 | RF: 8.000000 | WF: 2.000000  | Promotion: 1.633333 
ROA: 0.000000 | RF: 8.000000 | WF: 3.000000  | Promotion: 4.128747 
ROA: 0.000000 | RF: 8.000000 | WF: 4.000000  | Promotion: 4.750648 
ROA: 0.000000 | RF: 8.000000 | WF: 5.000000  | Promotion: 5.000000 
ROA: 0.000000 | RF: 8.000000 | WF: 6.000000  | Promotion: 5.249352 
ROA: 0.000000 | RF: 8.000000 | WF: 7.000000  | Promotion: 5.871253 
ROA: 0.000000 | RF: 8.000000 | WF: 8.000000  | Promotion: 8.366667 
ROA: 0.000000 | RF: 8.000000 | WF: 9.000000  | Promotion: 8.366667 
ROA: 0.000000 | RF: 9.000000 | WF: 0.000000  | Promotion: 1.633333 
ROA: 0.000000 | RF: 9.000000 | WF: 1.000000  | Promotion: 1.633333 
ROA: 0.000000 | RF: 9.000000 | WF: 2.000000  | Promotion: 1.633333 
ROA: 0.000000 | RF: 9.000000 | WF: 3.000000  | Promotion: 4.128747 
ROA: 0.000000 | RF: 9.000000 | WF: 4.000000  | Promotion: 4.750648 
ROA: 0.000000 | RF: 9.000000 | WF: 5.000000  | Promotion: 5.000000 
ROA: 0.000000 | RF: 9.000000 | WF: 6.000000  | Promotion: 5.249352 
ROA: 0.000000 | RF: 9.000000 | WF: 7.000000  | Promotion: 5.871253 
ROA: 0.000000 | RF: 9.000000 | WF: 8.000000  | Promotion: 8.366667 
ROA: 0.000000 | RF: 9.000000 | WF: 9.000000  | Promotion: 8.366667 
ROA: 1.000000 | RF: 0.000000 | WF: 0.000000  | Promotion: 1.633333 
ROA: 1.000000 | RF: 0.000000 | WF: 1.000000  | Promotion: 1.633333 
ROA: 1.000000 | RF: 0.000000 | WF: 2.000000  | Promotion: 1.633333 
ROA: 1.000000 | RF: 0.000000 | WF: 3.000000  | Promotion: 4.128747 
ROA: 1.000000 | RF: 0.000000 | WF: 4.000000  | Promotion: 4.750648 
ROA: 1.000000 | RF: 0.000000 | WF: 5.000000  | Promotion: 5.000000 
ROA: 1.000000 | RF: 0.000000 | WF: 6.000000  | Promotion: 5.249352 
ROA: 1.000000 | RF: 0.000000 | WF: 7.000000  | Promotion: 5.871253 
ROA: 1.000000 | RF: 0.000000 | WF: 8.000000  | Promotion: 8.366667 
ROA: 1.000000 | RF: 0.000000 | WF: 9.000000  | Promotion: 8.366667 
ROA: 1.000000 | RF: 1.000000 | WF: 0.000000  | Promotion: 1.633333 
ROA: 1.000000 | RF: 1.000000 | WF: 1.000000  | Promotion: 1.633333 
ROA: 1.000000 | RF: 1.000000 | WF: 2.000000  | Promotion: 1.633333 
ROA: 1.000000 | RF: 1.000000 | WF: 3.000000  | Promotion: 4.128747 
ROA: 1.000000 | RF: 1.000000 | WF: 4.000000  | Promotion: 4.750648 
ROA: 1.000000 | RF: 1.000000 | WF: 5.000000  | Promotion: 5.000000 
ROA: 1.000000 | RF: 1.000000 | WF: 6.000000  | Promotion: 5.249352 
ROA: 1.000000 | RF: 1.000000 | WF: 7.000000  | Promotion: 5.871253 
ROA: 1.000000 | RF: 1.000000 | WF: 8.000000  | Promotion: 8.366667 
ROA: 1.000000 | RF: 1.000000 | WF: 9.000000  | Promotion: 8.366667 
ROA: 1.000000 | RF: 2.000000 | WF: 0.000000  | Promotion: 1.633333 
ROA: 1.000000 | RF: 2.000000 | WF: 1.000000  | Promotion: 1.633333 
ROA: 1.000000 | RF: 2.000000 | WF: 2.000000  | Promotion: 1.633333 
ROA: 1.000000 | RF: 2.000000 | WF: 3.000000  | Promotion: 4.128747 
ROA: 1.000000 | RF: 2.000000 | WF: 4.000000  | Promotion: 4.750648 
ROA: 1.000000 | RF: 2.000000 | WF: 5.000000  | Promotion: 5.000000 
ROA: 1.000000 | RF: 2.000000 | WF: 6.000000  | Promotion: 5.249352 
ROA: 1.000000 | RF: 2.000000 | WF: 7.000000  | Promotion: 5.871253 
ROA: 1.000000 | RF: 2.000000 | WF: 8.000000  | Promotion: 8.366667 
ROA: 1.000000 | RF: 2.000000 | WF: 9.000000  | Promotion: 8.366667 
ROA: 1.000000 | RF: 3.000000 | WF: 0.000000  | Promotion: 1.778481 
ROA: 1.000000 | RF: 3.000000 | WF: 1.000000  | Promotion: 1.778481 
ROA: 1.000000 | RF: 3.000000 | WF: 2.000000  | Promotion: 1.778481 
ROA: 1.000000 | RF: 3.000000 | WF: 3.000000  | Promotion: 4.738886 
ROA: 1.000000 | RF: 3.000000 | WF: 4.000000  | Promotion: 5.261904 
ROA: 1.000000 | RF: 3.000000 | WF: 5.000000  | Promotion: 5.536177 
ROA: 1.000000 | RF: 3.000000 | WF: 6.000000  | Promotion: 5.536177 
ROA: 1.000000 | RF: 3.000000 | WF: 7.000000  | Promotion: 5.871253 
ROA: 1.000000 | RF: 3.000000 | WF: 8.000000  | Promotion: 8.221519 
ROA: 1.000000 | RF: 3.000000 | WF: 9.000000  | Promotion: 8.221519 
ROA: 1.000000 | RF: 4.000000 | WF: 0.000000  | Promotion: 1.633333 
ROA: 1.000000 | RF: 4.000000 | WF: 1.000000  | Promotion: 1.633333 
ROA: 1.000000 | RF: 4.000000 | WF: 2.000000  | Promotion: 1.633333 
ROA: 1.000000 | RF: 4.000000 | WF: 3.000000  | Promotion: 4.700377 
ROA: 1.000000 | RF: 4.000000 | WF: 4.000000  | Promotion: 5.995276 
ROA: 1.000000 | RF: 4.000000 | WF: 5.000000  | Promotion: 6.377934 
ROA: 1.000000 | RF: 4.000000 | WF: 6.000000  | Promotion: 6.377934 
ROA: 1.000000 | RF: 4.000000 | WF: 7.000000  | Promotion: 6.144930 
ROA: 1.000000 | RF: 4.000000 | WF: 8.000000  | Promotion: 8.366667 
ROA: 1.000000 | RF: 4.000000 | WF: 9.000000  | Promotion: 8.366667 
ROA: 1.000000 | RF: 5.000000 | WF: 0.000000  | Promotion: 1.633333 
ROA: 1.000000 | RF: 5.000000 | WF: 1.000000  | Promotion: 1.633333 
ROA: 1.000000 | RF: 5.000000 | WF: 2.000000  | Promotion: 1.633333 
ROA: 1.000000 | RF: 5.000000 | WF: 3.000000  | Promotion: 4.660363 
ROA: 1.000000 | RF: 5.000000 | WF: 4.000000  | Promotion: 6.134892 
ROA: 1.000000 | RF: 5.000000 | WF: 5.000000  | Promotion: 8.366667 
ROA: 1.000000 | RF: 5.000000 | WF: 6.000000  | Promotion: 8.366667 
ROA: 1.000000 | RF: 5.000000 | WF: 7.000000  | Promotion: 8.221519 
ROA: 1.000000 | RF: 5.000000 | WF: 8.000000  | Promotion: 8.366667 
ROA: 1.000000 | RF: 5.000000 | WF: 9.000000  | Promotion: 8.366667 
ROA: 1.000000 | RF: 6.000000 | WF: 0.000000  | Promotion: 1.633333 
ROA: 1.000000 | RF: 6.000000 | WF: 1.000000  | Promotion: 1.633333 
ROA: 1.000000 | RF: 6.000000 | WF: 2.000000  | Promotion: 1.633333 
ROA: 1.000000 | RF: 6.000000 | WF: 3.000000  | Promotion: 4.700377 
ROA: 1.000000 | RF: 6.000000 | WF: 4.000000  | Promotion: 5.995276 
ROA: 1.000000 | RF: 6.000000 | WF: 5.000000  | Promotion: 6.377934 
ROA: 1.000000 | RF: 6.000000 | WF: 6.000000  | Promotion: 6.377934 
ROA: 1.000000 | RF: 6.000000 | WF: 7.000000  | Promotion: 6.144930 
ROA: 1.000000 | RF: 6.000000 | WF: 8.000000  | Promotion: 8.366667 
ROA: 1.000000 | RF: 6.000000 | WF: 9.000000  | Promotion: 8.366667 
ROA: 1.000000 | RF: 7.000000 | WF: 0.000000  | Promotion: 1.778481 
ROA: 1.000000 | RF: 7.000000 | WF: 1.000000  | Promotion: 1.778481 
ROA: 1.000000 | RF: 7.000000 | WF: 2.000000  | Promotion: 1.778481 
ROA: 1.000000 | RF: 7.000000 | WF: 3.000000  | Promotion: 4.738886 
ROA: 1.000000 | RF: 7.000000 | WF: 4.000000  | Promotion: 5.261904 
ROA: 1.000000 | RF: 7.000000 | WF: 5.000000  | Promotion: 5.536177 
ROA: 1.000000 | RF: 7.000000 | WF: 6.000000  | Promotion: 5.536177 
ROA: 1.000000 | RF: 7.000000 | WF: 7.000000  | Promotion: 5.871253 
ROA: 1.000000 | RF: 7.000000 | WF: 8.000000  | Promotion: 8.221519 
ROA: 1.000000 | RF: 7.000000 | WF: 9.000000  | Promotion: 8.221519 
ROA: 1.000000 | RF: 8.000000 | WF: 0.000000  | Promotion: 1.633333 
ROA: 1.000000 | RF: 8.000000 | WF: 1.000000  | Promotion: 1.633333 
ROA: 1.000000 | RF: 8.000000 | WF: 2.000000  | Promotion: 1.633333 
ROA: 1.000000 | RF: 8.000000 | WF: 3.000000  | Promotion: 4.128747 
ROA: 1.000000 | RF: 8.000000 | WF: 4.000000  | Promotion: 4.750648 
ROA: 1.000000 | RF: 8.000000 | WF: 5.000000  | Promotion: 5.000000 
ROA: 1.000000 | RF: 8.000000 | WF: 6.000000  | Promotion: 5.249352 
ROA: 1.000000 | RF: 8.000000 | WF: 7.000000  | Promotion: 5.871253 
ROA: 1.000000 | RF: 8.000000 | WF: 8.000000  | Promotion: 8.366667 
ROA: 1.000000 | RF: 8.000000 | WF: 9.000000  | Promotion: 8.366667 
ROA: 1.000000 | RF: 9.000000 | WF: 0.000000  | Promotion: 1.633333 
ROA: 1.000000 | RF: 9.000000 | WF: 1.000000  | Promotion: 1.633333 
ROA: 1.000000 | RF: 9.000000 | WF: 2.000000  | Promotion: 1.633333 
ROA: 1.000000 | RF: 9.000000 | WF: 3.000000  | Promotion: 4.128747 
ROA: 1.000000 | RF: 9.000000 | WF: 4.000000  | Promotion: 4.750648 
ROA: 1.000000 | RF: 9.000000 | WF: 5.000000  | Promotion: 5.000000 
ROA: 1.000000 | RF: 9.000000 | WF: 6.000000  | Promotion: 5.249352 
ROA: 1.000000 | RF: 9.000000 | WF: 7.000000  | Promotion: 5.871253 
ROA: 1.000000 | RF: 9.000000 | WF: 8.000000  | Promotion: 8.366667 
ROA: 1.000000 | RF: 9.000000 | WF: 9.000000  | Promotion: 8.366667 
ROA: 2.000000 | RF: 0.000000 | WF: 0.000000  | Promotion: 1.633333 
ROA: 2.000000 | RF: 0.000000 | WF: 1.000000  | Promotion: 1.633333 
ROA: 2.000000 | RF: 0.000000 | WF: 2.000000  | Promotion: 1.633333 
ROA: 2.000000 | RF: 0.000000 | WF: 3.000000  | Promotion: 4.128747 
ROA: 2.000000 | RF: 0.000000 | WF: 4.000000  | Promotion: 4.750648 
ROA: 2.000000 | RF: 0.000000 | WF: 5.000000  | Promotion: 5.000000 
ROA: 2.000000 | RF: 0.000000 | WF: 6.000000  | Promotion: 5.249352 
ROA: 2.000000 | RF: 0.000000 | WF: 7.000000  | Promotion: 5.871253 
ROA: 2.000000 | RF: 0.000000 | WF: 8.000000  | Promotion: 8.366667 
ROA: 2.000000 | RF: 0.000000 | WF: 9.000000  | Promotion: 8.366667 
ROA: 2.000000 | RF: 1.000000 | WF: 0.000000  | Promotion: 1.633333 
ROA: 2.000000 | RF: 1.000000 | WF: 1.000000  | Promotion: 1.633333 
ROA: 2.000000 | RF: 1.000000 | WF: 2.000000  | Promotion: 1.633333 
